word1,word2,PMI_score
lol,i,8.054448069655853
personally,i,8.054448069655853
yeah,i,8.054448069655853
i,moved,8.054448069655852
the,intersection,7.974331645339873
the,news,7.974331645339873
people,are,7.948215779071343
we,are,7.948215779071343
a,good,7.9297358844314605
been,a,7.9297358844314605
to,go,7.9285089898152705
of,marietta,7.895015423602644
and,that's,7.8823505697058796
all,my,7.864374295542977
in,marietta,7.804253249470092
i,lived,7.774754056742272
to,live,7.749879355812547
and,miles,7.718516338561485
miles,and,7.718516338561485
is,near,7.698392027638084
sprayberry,is,7.698392027638084
thing,is,7.698392027638084
now,that,7.668521766157761
still,a,7.632516666684248
when,i,7.621497368596308
a,bad,7.612644965141101
this,was,7.609885343125926
the,city,7.608277043384928
the,last,7.608277043384928
it's,still,7.577924504312285
on,your,7.540130797119678
i,also,7.524559236556512
i,didn't,7.524559236556512
that,area,7.498831417429429
a,nice,7.496785183371914
a,year,7.496785183371914
like,it,7.478447992044885
live,in,7.452495225778258
cobb,has,7.442193020999951
you,don't,7.424271015350493
schools,in,7.418326945972002
moved,to,7.398620156715932
you,are,7.386874108973715
an,area,7.382971635660243
it,will,7.325191303898921
the,can't,7.291186124094569
the,end,7.291186124094569
the,roaches,7.291186124094569
the,street,7.291186124094569
center,and,7.285565637501938
roaches,and,7.285565637501938
of,lassiter,7.282760374946745
up,there,7.252119246887078
one,in,7.191998200814194
are,just,7.149210476056852
a,house,7.130730581416971
get,a,7.130730581416971
got,a,7.130730581416971
take,a,7.130730581416971
i,wasn't,7.091608535496969
i,don't,7.091608535496966
here,it's,7.076138419045007
out,of,7.076138419045007
a,great,7.020261618028346
is,no,7.015246506392783
is,now,7.015246506392783
the,other,6.858235423035024
of,people,6.825943598859248
there,is,6.825172732279907
lassiter,and,6.809042072158374
sprayberry,area,6.786186703456302
isn't,the,6.7612972909952305
up,in,6.759047499754647
i,never,6.725553933542021
to,be,6.715474635470628
place,is,6.649191904437836
in,an,6.619321642957511
kids,and,6.602420116256635
in,your,6.5772912629607925
over,the,6.5349685458374225
i,live,6.509527393162521
so,you,6.499426763400406
back,in,6.455487411813116
in,east,6.455487411813116
you're,in,6.455487411813116
back,to,6.435780622557047
to,do,6.435780622557047
anything,i,6.408463014251665
i,had,6.408463014251665
of,franklin,6.3929928977997035
not,east,6.377622912252727
about,it,6.3623517697400365
think,it,6.3623517697400365
franklin,is,6.332100985147479
is,franklin,6.332100985147479
is,really,6.332100985147479
down,the,6.328346589935685
near,the,6.328346589935685
the,sprayberry,6.328346589935685
the,time,6.328346589935685
and,then,6.322726103343054
and,walton,6.322726103343054
walton,and,6.322726103343054
i,still,6.2645004846504175
it,still,6.218389240138789
is,still,6.1881384555462295
in,the,6.143214866465705
then,i,6.1287690013380836
i,was,6.099631771034071
be,as,6.089432809858171
the,schools,6.078151769749926
but,it's,6.039084892542433
home,in,6.022536710753573
but,it,6.008443764482766
had,to,6.002829921497502
to,other,6.002829921497502
the,canton,5.9622919879807394
the,pope,5.9622919879807394
i,do,5.878574181152324
by,the,5.851823024592119
a,home,5.850800127967726
a,very,5.850800127967726
at,the,5.821181896532453
is,a,5.820549343375168
so,i,5.800709681591937
here,i,5.762714399383137
so,it,5.7545984370803085
have,to,5.72313590858392
area,and,5.7200850535551755
area,for,5.681109779239394
house,in,5.656482108798627
area,with,5.653656820569086
the,apartments,5.645201068690381
the,only,5.645201068690381
and,no,5.63958058209775
and,when,5.63958058209775
place,to,5.636775319542557
for,that,5.6006053077819695
cobb,is,5.5758834068903305
years,i,5.546687859003635
and,if,5.51118961305967
area,so,5.495287849551271
also,in,5.492647877654231
i'm,in,5.492647877654231
cobb,was,5.487376722378171
as,a,5.484745526012779
area,is,5.44976592244602
i,were,5.445623480092781
now,i,5.445623480092781
the,area,5.3858904811613435
area,but,5.383078574998783
or,is,5.369261450988595
that,is,5.369261450988593
around,the,5.3655070557768
from,a,5.320911294868387
if,i,5.317232511054699
place,and,5.273525980142806
but,i,5.255549705979904
not,a,5.243046795307999
in,all,5.195428659907019
from,the,5.115312235591042
on,the,5.115312235591042
the,east,5.115312235591042
and,they,5.1096917489984115
was,a,5.109018183690587
i,get,5.079568878137833
i,just,5.079568878137833
in,this,5.059697176594685
not,the,5.037447736030653
and,my,5.016556106925329
is,just,5.003206849033647
cobb,i,4.969099914749212
and,some,4.956435060852447
lassiter,the,4.888983490433235
the,one,4.888983490433235
in,my,4.869623402481813
all,the,4.81809301784383
marietta,and,4.8124725312512
on,that,4.809502356408927
i,really,4.762477958847477
think,i,4.762477958847477
but,you,4.741232433443732
and,it's,4.7301063156946395
of,the,4.713002662591163
now,the,4.682361534531497
the,home,4.682361534531497
and,this,4.676741047938866
be,a,4.637765773623084
but,be,4.619428582296055
it's,that,4.58317361125112
there,and,4.48666727382599
are,a,4.48450908547712
i,have,4.482783945933895
for,a,4.466029190837237
and,we,4.426546227753108
good,and,4.426546227753108
cobb,but,4.393099837138244
in,that,4.376551655349382
the,house,4.316306932576552
the,place,4.316306932576552
and,don't,4.310686445983921
here,and,4.310686445983921
there,it,4.246598927309392
of,east,4.217119009296176
it,is,4.216348142716835
up,and,4.200217482595301
on,it,4.186477881236509
like,the,4.152472701432157
about,the,3.9992160132861923
the,really,3.9992160132861923
it,but,3.996404107123633
it,it's,3.9601491360787016
just,a,3.838760470608594
for,the,3.827479430500346
with,a,3.7554307109216243
it's,a,3.72829150721997
and,i,3.6430110411905767
with,the,3.5498316516442814
to,the,3.4496203909307814
area,i,3.350254063046678
of,that,3.254279475137291
the,school,3.242998435029046
be,in,3.163517301004739
years,the,3.137440858038166
in,a,2.991780718218896
on,a,2.991780718218896
and,you,2.9023650234965963
and,there,2.8406822184218017
of,it,2.6312549999648724
is,it,2.570363087312646
of,a,2.399397371106141
